
Test of the random number initialization
----------------------------------------

32x32x32x32 lattice, 2x2x2x2 process grid, 16x16x16x16 local lattice

The corresponding state vectors are

	       105	       105	       105	       105
	  12208201	   7670902	  10113551	   6429586
	  10457259	   1384903	   5446249	   5359895
	  16149963	  13653550	  10667722	  12744960
	  12041531	  11865904	  16382215	  16076005
	   4804035	   6157654	   5739954	   5697724
	   7782406	    580669	  12413708	   3214729
	   3239159	  11896439	  13830068	  16565035
	   4543735	   8289481	   7693088	   9049476
	   7393535	    757411	  14502319	  13491868
	  15362530	   6087386	  14879446	   5720159
	   5367613	   2799292	   6950958	   9891766
	   9308639	   3826857	   8938310	   7255281
	   8488952	  10063675	  10740527	   1104897
	   1269738	   8700806	   9668364	  10556045
	     46264	   5813954	  12118958	   4874157
	   2797798	   2679991	  10431309	  16705135
	   9244766	   7562835	    106525	   8565446
	  15167318	  13359700	   2091011	  11011384
	   4190490	  15617976	   1844537	   4829035
	    729808	   2163722	   7512292	  12053296
	  16272888	   4298910	   3895952	  15123954
	  16372968	   8876858	   3987386	  14740252
	   1533514	  11605978	   6837997	   7787333
	  12181384	   5105998	  14149462	  16097067
	   2325025	   8759649	    152259	  13760600
	  14035011	   8119454	    623683	   1316629
	   7573357	   8928300	   5141771	  15937759
	   4852397	   3958319	   8206380	  15341610
	   8523344	    835842	  15809302	    454923
	   1312740	   6000731	  16215499	  10567809
	  14533286	   5264722	  14352812	    152708
	   6674397	   1024429	   6307221	   3576898
	   6439265	   5030683	   4006366	  11225263
	  16174613	  16613676	   3276054	  13794180
	  12070331	   2283598	   5433051	  11050547
	    153404	   6818030	   1439754	  13324554
	  10926856	   2125793	  10161630	  15045309
	  10045788	  14474067	   7503338	  14292584
	  14778297	   3345644	   2419139	   7353975
	  12105224	   6296946	  11483953	  11983333
	   2788533	   5210105	   1599467	  12294806
	   4786588	  10875867	   2389482	  10375241
	   5393980	  10442503	   7241327	   7710877
	   6697102	   6242728	   7212021	   7907487
	   3614184	   1891402	  14488099	  14304461
	  15324637	   4063005	   4098262	  11316906
	  10679526	  16371810	   7578959	  16146144
	   3217963	   1763573	  14051866	  14539150
	   5978017	   9309725	   7367042	  16518653
	   1109953	   7405974	  15697704	   9503907
	   2992189	   7396795	   5481865	   4273470
	  11821287	  16538983	  10266665	  15196709
	    785112	  12000707	   2107575	   5492682
	   1184605	   2281559	   7171961	  11050176
	  14139250	   6452957	  14855863	  13032275
	   4011894	  11004268	  11003128	  16733214
	   7758615	   4056581	   9529089	   4125508
	   8400989	   9757504	   2162735	  12293661
	  16427380	  15892978	  15893170	   9778493
	   5459171	   9144977	    333024	   8194603
	   6269462	   5732268	  16297888	   7992433
	  12116609	  13862358	   5653158	   2602281
	  15991084	  15282221	    730357	   7127671
	  11613187	  13271885	  10465646	   6721602
	  15373985	    236451	   8321228	  14028842
	  12990660	  12594302	   9813736	   4296780
	  16351000	   9838771	   6319180	   6206375
	   3475135	   9183420	   6182280	   2044551
	   5952986	   4411688	   3310618	   8554209
	  11026635	  14729877	  13923170	  10619481
	  13140728	    510828	   4317278	  13310781
	   6827661	   4671797	    355271	  15310491
	    337534	   3570221	   1957456	   7018795
	    387836	  14981362	   6132394	   1415120
	  11297838	  12400085	  16209928	  13424252
	   5114147	   8957653	  13655303	  16470720
	  16696132	   5741353	   1658420	   2602442
	   4076330	  13565264	  13467334	   6982959
	   6610615	   7578600	  10329168	   6526481
	    296109	   5151029	   8792983	  12686811
	   5402989	    824655	  14725222	  11759883
	  14286370	  13558181	  15064186	  16415761
	   5010320	   5204346	   5028298	   9780856
	   8525498	  16275055	  15964456	  10872520
	   8135338	   9934581	  15700674	  11891666
	    251236	  13674893	   4863082	  14631152
	  10280191	    259927	   3867573	  13356762
	   7668981	   4014125	   5028747	     70094
	   4292345	   8314205	   7372980	  13255993
	   7661995	  15143375	   1463930	  11023586
	     16117	   6588500	  12062050	  12528264
	  13935568	  13938064	   9471535	   4185941
	   3520094	  16335474	    492250	   5282263
	  11154742	  11400994	   7779671	  13632016
	  15558452	  13774492	   2627857	    957774
	  11972060	  16146246	   3168003	   4789576
	         1	         1	         1	         0
	         0	         1	         1	         1
	         0	         0	         0	         0
	         1	         1	         0	         0
	       109	       109	       109	       109
	        11	        11	        11	        11
	         6	         6	         6	         6
	        31	        31	        31	        31

	       105	       105	       105	       105
	   2891644	  14379918	  16305767	    730165
	  11329004	    942277	   1904650	    685446
	   7780484	  14672742	   9205947	  10918082
	   9213717	   2208118	   3462781	  13109908
	   7883939	  10582002	   3739317	  13440856
	   9156241	  14780713	   1131039	  10056958
	  11885459	   8474267	   2167929	   4376600
	  12717822	   1950691	   6105803	   5100483
	   3531335	  11962851	  11772996	  15894630
	  12168645	   8851505	  13815738	   1223319
	   9208333	   9226601	   4830221	  11959096
	   1926587	   1615505	   7561092	   1544651
	   2865403	  10628900	   4934482	  11411644
	   2136482	  13997704	  10425648	   3960783
	   5073348	  11494193	  13218789	  10701055
	   6056664	   4519940	   1787684	   5227169
	   6691687	  14754876	  13284796	   1111014
	  10140490	   9937818	  14593864	  13122499
	   5865087	    612448	   3104109	   5381087
	   1371516	  13779753	  10252550	   4620003
	   2924217	   7339158	  11283606	   3516974
	   4506816	   6828088	    874305	   1531154
	  13326622	   2330434	   3863400	   8701121
	   8043245	  12382338	  16656636	   1044872
	  13807859	  16013427	  12893710	  16473748
	  15328550	  11835095	   2242402	   7180832
	   8321123	    167528	   2263268	  13685714
	  16573964	   6600793	    883388	  14965804
	   9604615	   1334626	   3529057	    490169
	   3072484	   9804393	  14620101	   5562680
	  14726920	   9485513	    720736	  11594048
	   6079617	   8422489	  14874498	   8650155
	   1978319	  12627443	  12294555	   1829959
	   8489733	   1918200	    697402	   3244728
	  10684856	  10479949	   3938985	   8383968
	   1655412	    203249	    777806	   3729898
	   2888089	    892761	  14402259	   5144173
	   5489253	  12625170	    126250	    861967
	   5348278	  13752149	  11496079	  13252116
	  12695449	   5161328	   1386191	   7800652
	  15245200	   1856045	  12726460	   8654324
	  11898153	   8676415	  13130211	    249124
	   7533033	   9556598	  14196826	   8719434
	   1601935	   7009998	   2320006	   9217496
	   2695208	  11957384	  11006769	   6205706
	  13845507	   2106163	  14462241	   5514428
	    531954	  13544441	   2646460	   1932720
	  10814914	  14643145	   1839651	   6590589
	  11658463	  16103900	  10463992	  10839513
